model_name,mae,rmse,qlike
linear,1.9864805940049584e-14,2.1812218802544552e-14,-10.599912084419332
persistence,1.4147593952102993e-08,1.4147669653685229e-08,-10.599910896180132
rolling_5d,4.2574191385241304e-08,4.2574419664046665e-08,-10.599901368215772
